year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
2004.0,125.0,2660.0,2660.0,73.0,1.4,1.25
2004.0,125.0,2530.0,2530.0,84.0,1.4,1.25
2004.0,125.0,2800.0,2800.0,84.0,1.4,1.25
2004.0,125.0,2930.0,2930.0,73.0,1.4,1.25
2004.0,125.0,2930.0,2930.0,84.0,1.4,1.25
2004.0,125.0,3060.0,3060.0,73.0,1.4,1.25
2004.0,125.0,3060.0,3060.0,84.0,1.4,1.25
2004.0,125.0,2660.0,2660.0,84.0,1.4,1.25
2005.0,125.0,3330.0,3330.0,84.0,1.4,1.25
2005.0,230.0,3200.0,3200.0,130.0,1.4,1.2
2005.0,230.0,2660.0,2660.0,95.0,1.4,1.2
2005.0,169.0,3733.0,3733.0,109.0,1.5,1.5
2005.0,114.0,2200.0,2200.0,25.0,1.2,1.2
2005.0,279.0,1400.0,1400.0,72.0,1.1,1.1
2005.0,125.0,3200.0,3200.0,84.0,1.4,1.25
2005.0,125.0,3200.0,3200.0,73.0,1.4,1.25
2005.0,114.0,2800.0,2800.0,104.0,1.4,1.4
2005.0,125.0,3200.0,3200.0,73.0,1.4,1.25
2005.0,,2200.0,2200.0,,,
2005.0,125.0,2130.0,2130.0,73.0,1.4,1.25
2006.0,291.0,3000.0,3000.0,80.0,1.5,1.0
2006.0,1328.0,2600.0,2600.0,95.0,1.35,1.1
2006.0,1328.0,3000.0,3000.0,95.0,1.35,1.1
2006.0,188.0,3330.0,3330.0,86.0,1.325,1.25
2006.0,1328.0,3200.0,3200.0,150.0,1.35,1.1
2006.0,582.0,1600.0,1600.0,80.0,1.5,1.0
2006.0,376.0,3600.0,3600.0,130.0,1.3375,1.2
2006.0,582.0,2000.0,2000.0,80.0,1.5,1.0
2006.0,167.0,1860.0,1860.0,65.0,1.5,0.85
2006.0,291.0,2133.0,2133.0,65.0,1.5,0.85
2006.0,291.0,2400.0,2400.0,65.0,1.5,0.85
2006.0,291.0,2660.0,2660.0,65.0,1.5,0.85
2006.0,,2800.0,2800.0,119.0,1.375,1.325
2006.0,227.4,2600.0,2600.0,95.0,1.35,1.3
2006.0,227.4,2400.0,2400.0,95.0,1.35,1.3
2006.0,227.4,2200.0,2200.0,95.0,1.35,1.3
2006.0,227.4,2000.0,2000.0,95.0,1.35,1.3
2006.0,227.4,1800.0,1800.0,95.0,1.35,1.3
2006.0,227.4,2600.0,2600.0,103.0,1.35,1.3
2006.0,582.0,2660.0,2660.0,120.0,1.5,1.0
2006.0,376.0,3400.0,3400.0,130.0,1.3375,1.2
2006.0,154.0,2600.0,2600.0,65.0,1.25,1.25
2006.0,243.0,2800.0,2800.0,125.0,1.35,1.35
2006.0,233.0,2600.0,2600.0,110.0,1.35,1.3
2006.0,291.0,2167.0,2167.0,34.0,1.3,1.0375
2006.0,291.0,1667.0,1667.0,34.0,1.3,1.0375
2006.0,291.0,2000.0,2000.0,34.0,1.3,1.0375
2006.0,291.0,2330.0,2330.0,34.0,1.3,1.0375
2006.0,291.0,2930.0,2930.0,75.0,1.5,0.85
2006.0,188.0,3460.0,3460.0,65.0,1.325,1.25
2006.0,582.0,2330.0,2330.0,80.0,1.5,1.0
2006.0,582.0,1860.0,1860.0,80.0,1.5,1.0
2006.0,188.0,3060.0,3060.0,86.0,1.325,1.25
